time,low,high,open,close,volume
2025-01-01 22:00:00,94483.3,94802.51,94775.01,94595.96,220.07029729
2025-01-01 23:00:00,94316.57,94751.0,94595.97,94383.59,320.19698435
2025-01-02 00:00:00,94177.0,95178.57,94383.59,94922.02,417.66751759
2025-01-02 01:00:00,94525.89,95338.18,94922.02,94676.65,372.58838794
2025-01-02 02:00:00,94606.46,95054.29,94676.65,95051.34,197.16489668
2025-01-02 03:00:00,94726.3,95107.39,95051.35,94827.25,122.12781607
2025-01-02 04:00:00,94803.6,95832.21,94832.39,95532.47,333.50552624
2025-01-02 05:00:00,95208.57,95625.11,95524.62,95415.55,196.67335315
2025-01-02 06:00:00,95184.81,95524.07,95415.29,95428.76,122.62590726
2025-01-02 07:00:00,95359.0,95758.91,95437.35,95691.24,152.22147704
2025-01-02 08:00:00,95491.36,96071.15,95692.21,95999.88,263.17137937
2025-01-02 09:00:00,95895.38,96669.06,95999.87,96628.99,274.72209148
2025-01-02 10:00:00,96429.68,96679.99,96621.65,96607.44,243.78752049
2025-01-02 11:00:00,96368.56,96774.06,96607.43,96631.02,297.22756377
2025-01-02 12:00:00,96503.17,96794.56,96631.02,96754.56,268.15195298
2025-01-02 13:00:00,96329.16,96867.17,96754.55,96358.68,384.84293662
2025-01-02 14:00:00,95849.42,97295.0,96358.67,97183.21,1383.93692014
2025-01-02 15:00:00,96014.86,97254.13,97175.11,96362.35,860.20692775
2025-01-02 16:00:00,95914.36,97583.0,96362.35,97167.0,1126.03971295
2025-01-02 17:00:00,96217.3,97524.81,97165.58,96665.63,760.13220331
2025-01-02 18:00:00,96312.37,97282.55,96665.63,97236.28,742.41521023
2025-01-02 19:00:00,97100.73,97705.05,97236.27,97224.83,742.38249041
2025-01-02 20:00:00,97198.11,97776.99,97224.83,97209.38,855.4658304
2025-01-02 21:00:00,96941.91,97261.83,97209.37,97107.8,295.54230669
2025-01-02 22:00:00,96633.33,97107.8,97107.8,96799.84,285.0446271
2025-01-02 23:00:00,96679.98,96991.15,96798.41,96903.19,214.82928396
2025-01-03 00:00:00,96698.56,96990.95,96905.48,96745.67,201.27337941
2025-01-03 01:00:00,96550.01,96912.9,96745.68,96889.05,175.22956905
2025-01-03 02:00:00,96750.37,97270.33,96889.06,96886.48,469.04897545
2025-01-03 03:00:00,96744.35,97013.54,96886.49,96970.54,135.70902981
2025-01-03 04:00:00,96680.01,96975.92,96970.55,96735.71,118.3574956
2025-01-03 05:00:00,96510.01,96791.14,96738.15,96677.58,99.06842131
2025-01-03 06:00:00,96427.72,96842.94,96674.27,96467.96,120.50259097
2025-01-03 07:00:00,96202.01,96585.23,96467.97,96232.47,194.14239293
2025-01-03 08:00:00,96016.63,96450.29,96232.46,96044.07,146.44679925
2025-01-03 09:00:00,96018.94,96627.41,96044.07,96467.56,236.33554005
2025-01-03 10:00:00,96320.0,96582.86,96479.37,96411.54,71.35252066
2025-01-03 11:00:00,96398.23,96759.45,96411.54,96679.43,118.56016216
2025-01-03 12:00:00,96585.52,96870.65,96679.43,96585.53,147.61339884
2025-01-03 13:00:00,96401.0,96766.18,96585.53,96430.55,195.76704771
2025-01-03 14:00:00,96422.84,97284.0,96429.85,96957.36,588.64296373
2025-01-03 15:00:00,96695.58,97612.67,96957.37,97464.8,1041.57908192
2025-01-03 16:00:00,97342.97,98402.84,97458.07,97804.66,1045.53891783
2025-01-03 17:00:00,97769.59,98243.07,97804.67,97971.45,549.82348852
2025-01-03 18:00:00,97933.23,98653.73,97976.46,98490.05,692.62319676
2025-01-03 19:00:00,98458.7,98969.92,98489.44,98562.77,788.46684086
2025-01-03 20:00:00,98252.93,98741.4,98554.95,98300.02,1151.76306246
2025-01-03 21:00:00,98150.0,98407.66,98297.65,98234.45,333.07231764
2025-01-03 22:00:00,98207.44,98497.5,98234.45,98269.15,169.60990549
2025-01-03 23:00:00,98020.47,98347.69,98269.15,98136.51,231.35828318
2025-01-04 00:00:00,97839.12,98271.66,98139.85,97919.27,183.67767235
2025-01-04 01:00:00,97749.98,98069.36,97910.52,97989.74,118.60437161
2025-01-04 02:00:00,97803.95,98279.58,97989.35,98268.34,115.53490624
2025-01-04 03:00:00,98004.27,98264.67,98260.94,98162.98,109.14944951
2025-01-04 04:00:00,97826.77,98162.98,98162.98,97957.84,111.20295219
2025-01-04 05:00:00,97936.92,98161.54,97957.91,98092.44,94.8594131
2025-01-04 06:00:00,97989.85,98175.8,98091.56,98085.7,62.8538324
2025-01-04 07:00:00,98054.77,98296.72,98085.7,98240.53,70.75726695
2025-01-04 08:00:00,97872.5,98267.25,98236.76,97886.86,92.95957667
2025-01-04 09:00:00,97528.26,97964.3,97886.85,97653.5,95.23065545
2025-01-04 10:00:00,97575.44,97825.16,97656.26,97759.33,37.82155967
2025-01-04 11:00:00,97673.55,97900.8,97759.33,97855.09,54.63837746
2025-01-04 12:00:00,97764.73,97990.34,97862.02,97858.41,73.73539297
2025-01-04 13:00:00,97712.41,98053.93,97853.76,97948.8,151.30507877
2025-01-04 14:00:00,97800.57,98064.8,97948.81,98020.04,104.24079678
2025-01-04 15:00:00,97516.65,98143.1,98020.04,97649.43,286.28814243
2025-01-04 16:00:00,97550.47,97859.74,97650.5,97700.74,164.64605345
2025-01-04 17:00:00,97669.14,98042.0,97701.97,98006.89,96.04501021
2025-01-04 18:00:00,97879.01,98135.53,98017.68,97948.21,84.65857425
2025-01-04 19:00:00,97907.92,98500.0,97948.2,98156.45,175.97340346
2025-01-04 20:00:00,98145.97,98666.0,98150.12,98590.39,147.42289573
2025-01-04 21:00:00,98317.51,98761.02,98590.4,98355.36,127.45682779
2025-01-04 22:00:00,98244.13,98481.8,98355.36,98399.1,91.16053308
2025-01-04 23:00:00,98132.54,98419.42,98398.89,98209.85,91.86686362
2025-01-05 00:00:00,98134.66,98386.57,98209.85,98203.82,74.16112851
2025-01-05 01:00:00,98020.01,98316.01,98203.81,98114.97,67.48690502
2025-01-05 02:00:00,98076.12,98214.74,98114.96,98207.94,54.01333264
2025-01-05 03:00:00,98033.74,98217.32,98207.95,98161.13,53.83519979
2025-01-05 04:00:00,98159.69,98494.82,98159.69,98329.0,78.30336109
2025-01-05 05:00:00,98232.03,98482.21,98332.06,98334.9,41.60219649
2025-01-05 06:00:00,98261.86,98476.19,98334.09,98430.25,47.93047692
2025-01-05 07:00:00,98236.76,98450.0,98430.26,98247.84,31.80298587
2025-01-05 08:00:00,97763.56,98247.84,98247.84,97840.84,100.53424536
2025-01-05 09:00:00,97609.0,97920.37,97840.83,97631.76,78.31610841
2025-01-05 10:00:00,97565.0,97737.1,97631.76,97700.53,47.23891862
2025-01-05 11:00:00,97582.3,97805.9,97706.59,97621.82,54.67980631
2025-01-05 12:00:00,97550.0,97935.1,97621.81,97737.01,54.28989818
2025-01-05 13:00:00,97650.0,98000.0,97737.02,97668.99,66.03228402
2025-01-05 14:00:00,97250.0,97937.36,97669.0,97831.21,210.55442669
2025-01-05 15:00:00,97681.13,98252.74,97831.21,98003.23,129.78482116
2025-01-05 16:00:00,97916.29,98318.69,98003.23,98005.96,160.01775519
2025-01-05 17:00:00,97638.62,98050.0,98005.96,97717.87,103.18465037
2025-01-05 18:00:00,97560.0,97917.13,97717.86,97895.55,132.63155402
2025-01-05 19:00:00,97822.02,98095.38,97898.98,98060.46,157.592775
2025-01-05 20:00:00,97987.36,98639.37,98060.46,98253.13,190.9295218
2025-01-05 21:00:00,98185.57,98508.7,98253.13,98482.67,155.81600836
2025-01-05 22:00:00,98316.5,98721.75,98482.67,98658.42,110.90042426
2025-01-05 23:00:00,98286.69,98814.0,98658.41,98345.33,176.28297491
2025-01-06 00:00:00,98162.78,98738.98,98347.65,98198.82,148.18683577
2025-01-06 01:00:00,97900.0,98784.63,98198.81,98716.36,184.07519128
2025-01-06 02:00:00,98618.86,99249.99,98716.36,98780.02,515.65325816
2025-01-06 03:00:00,98728.0,99197.0,98778.04,98993.48,169.49267377
2025-01-06 04:00:00,99003.79,99458.0,99003.79,99420.86,297.96068105
2025-01-06 05:00:00,99350.0,99888.0,99420.64,99572.59,601.91741614
2025-01-06 06:00:00,99399.98,99748.2,99580.27,99488.29,211.23714444
2025-01-06 07:00:00,99142.43,99509.68,99488.28,99278.82,198.59491898
2025-01-06 08:00:00,98968.48,99603.99,99277.29,99014.89,231.40485311
2025-01-06 09:00:00,98914.79,99233.82,99014.9,98969.01,109.12060321
2025-01-06 10:00:00,98668.11,99030.62,98969.0,98745.86,213.21810121
2025-01-06 11:00:00,98666.31,99374.22,98739.67,99219.43,196.54720195
2025-01-06 12:00:00,99111.0,99692.96,99219.44,99131.85,224.57870023
2025-01-06 13:00:00,98871.54,99544.64,99131.85,99460.46,362.39672797
2025-01-06 14:00:00,98676.5,101303.31,99460.48,100738.42,2236.13222621
2025-01-06 15:00:00,100487.31,102485.16,100751.34,102167.04,2275.5173365
2025-01-06 16:00:00,101724.69,102500.0,102167.05,102185.59,1612.07578535
2025-01-06 17:00:00,101257.0,102185.63,102185.63,101864.76,1168.37496563
2025-01-06 18:00:00,101589.33,102081.66,101864.77,101786.32,814.81567292
2025-01-06 19:00:00,101668.98,102081.66,101788.19,101854.25,876.9237659
2025-01-06 20:00:00,101845.2,102395.1,101854.26,102182.39,1472.11857304
2025-01-06 21:00:00,101616.2,102416.96,102185.7,101648.09,530.97345577
